,TITLE,AUTHOR,DATE,STAR,RATING,CATEGORY
117,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Sep 16, 2014",4.6,5988,Business & Money
118,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,"Oct 18, 2016",-,5958,Business & Money
119,The ONE Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,"Apr 1, 2013",4.7,5938,Business & Money
120,"The Chimp Paradox: The Mind Management Program to Help You Achieve Success, Confidence, and Happine ss", | ,"May 30, 2013",4.6,5913,Business & Money
121,The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life (Before 8AM),Hal Elrod,"Dec 7, 2012",4.6,5877,Business & Money
122,Mindset: The New Psychology of Success,Carol S. Dweck,"Dec 26, 2007",4.6,5864,Business & Money
123,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,"Sep 13, 2011",4.5,5835,Business & Money
124,Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think,Hans Rosling,"Apr 7, 2020",4.6,5786,Business & Money
125,"5 AM Club, The: Own Your Morning. Elevate Your Life.",Robin Sharma,"Jan 7, 2020",4.5,5761,Business & Money
126,MONEY Master the Game: 7 Simple Steps to Financial Freedom,Tony Robbins,"Mar 29, 2016",4.5,5418,Business & Money
127,Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,"Sep 27, 2016",4.6,5367,Business & Money
128,Who Moved My Cheese 2003 Block Calendar: An A-Mazing Way to Deal With Change in Your Work and in Your Life,Spencer Johnson,"Jul 1, 2002",4.6,8160,Avg. Customer Review
129,"The Knot Ultimate Wedding Planner & Organizer [binder edition]: Worksheets, Checklists, Etiquette, Calendars, and Answers to Frequently Asked Questions by Roney, Carley (2013) Ring-bound",Carley Roney,"Dec 2, 2012",4.6,4239,Avg. Customer Review
130,"Katie Daisy 2020 On-the-Go Weekly Planner: 17-Month Calendar with Pocket (Aug 2019 - Dec 2020, 5"" x 7"" closed)",Amber Lotus Publishing,"Jun 19, 2019",4.7,3881,Avg. Customer Review
131,2021 Pooping Pooches White Elephant Gag Gift Calendar, | ,"Aug 20, 2017",-,3206,Avg. Customer Review
132,Thomas Kinkade Studios: Disney Dreams Collection 2020 Wall Calendar,Thomas Kinkade,"May 28, 2019",-,2956,Avg. Customer Review
133,"Katie Daisy 2018 - 2019 On-the-Go Weekly Planner: 17-Month Calendar with Pocket (Aug 2018 - Dec 2019, 5 x 7 closed)",Katie Daisy,"May 15, 2018",4.7,2408,Avg. Customer Review
134,Vader's Little Princess 2015 Wall Calendar (Star Wars),Jeffrey Brown,"Jul 22, 2014",-,2093,Avg. Customer Review
135,"Katie Daisy 2020 - 2021 On-the-Go Weekly Planner: 17-Month Calendar with Pocket (Aug 2020 - Dec 2021, 5"" x 7"" closed): Hello Beauty",Amber Lotus Publishing,"Apr 20, 2020",-,1955,Avg. Customer Review
136,Der Lebensfreude Kalender 2020: Das Original als Jubiläumsausgabe: 30 Jahre Lebensfreude-Kalender,Rolf Merkle,"Jul 5, 2019",4.6,1665,Avg. Customer Review
137,The Power of Intention Perpetual Flip Calendar: A Calendar To Use Year After Year,Wayne W. Dyer,"Jan 1, 2004",4.7,1557,Avg. Customer Review
138,Elements 2017 Calendar: A Visual Exploration of Every Known Atom in the Universe,Theodore Gray,"Jul 5, 2016",-,1550,Avg. Customer Review
139,2021 Amy Knapp's Big Grid Family Organizer Wall Calendar: August 2020-December 2021,Amy Knapp,"May 1, 2020",-,1500,Avg. Customer Review
140,2020 Amy Knapp's Big Grid Family Organizer Wall Calendar: August 2019-December 2020,Amy Knapp,"May 1, 2019",-,1500,Avg. Customer Review
141,2019 Amy Knapp's Big Grid Family Organizer Wall Calendar: August 2018-December 2019,Amy Knapp,"May 1, 2018",-,1500,Avg. Customer Review
142,2021 National Park Foundation Wall Calendar, | ,"Jul 1, 2020",4.7,1462,Avg. Customer Review
143,2020 National Park Foundation Wall Calendar, | ,"Jul 1, 2019",4.7,1462,Avg. Customer Review
144,2019 National Park Foundation Wall Calendar, | ,"Jul 1, 2018",4.7,1462,Avg. Customer Review
145,Pusheen 2020 Wall Calendar,Claire Belton,"Jun 18, 2019",-,1459,Avg. Customer Review
146,Dilbert 2020 Day-to-Day Calendar, | ,"May 21, 2019",-,1421,Avg. Customer Review
147,FORTNITE (Official): 2020 Calendar,Epic Games,"Jul 30, 2019",-,1371,Avg. Customer Review
148,Thomas Kinkade Painter of Light 2020 Deluxe Wall Calendar,Thomas Kinkade,"Jun 18, 2019",-,1146,Avg. Customer Review
149,F*cking Planner Stickers: Over 500 f*cking stickers to get your sh*t under control, | ,"Aug 1, 2019",4.7,1085,Avg. Customer Review
150,Mary Engelbreit 2020 Deluxe Wall Calendar: A Woman of Few Words,Mary Engelbreit,"May 28, 2019",-,1026,Avg. Customer Review
151,Doug the Pug 2020 Wall Calendar (Dog Breed Calendar),Leslie Mosier,"Jun 28, 2019",-,1011,Avg. Customer Review
152,Mom's Family Wall Calendar 2020,Sandra Boynton,"Jul 9, 2019",-,994,Avg. Customer Review
153,Dog Shaming 2020 Day-to-Day Calendar, and ,"Jul 2, 2019",-,946,Avg. Customer Review
154,A F*cking 2021 Calendar: Get Your Sh*t Together This Year - Includes Stickers!, | ,"May 1, 2020",-,944,Avg. Customer Review
155,A F*cking 2020 Calendar: Get Your Sh*t Together This Year- Includes Stickers!, | ,"May 1, 2019",-,944,Avg. Customer Review
156,Wer weiß denn sowas? Tagesabreißkalender 2020,No Author,"Apr 16, 2019",4.7,945,Avg. Customer Review
157,Under the Tuscan Sun 2011 Engagement Calendar,Frances Mayes,"Jul 28, 2010",-,934,Avg. Customer Review
